company,company_score,primary_title,secondary_title,experience_level,location,min_salary,max_salary,avg_salary,source
ViewSoft,4.8,Software Engineer,n/a,Intermediate,"Manassas, VA",68000,94000,81000,Glassdoor
Workiva,4.3,Software Engineer,n/a,Intermediate,Remote,61000,104000,82500,Employer
"Garmin International, Inc.",3.9,Software Engineer,C#,Intermediate,"Cary, NC",95000,118000,106500,Glassdoor
Snapchat,3.5,Software Engineer,Fullstack,Entry,"Los Angeles, CA",97000,145000,121000,Employer
Vitesco Technologies Group AG,3.1,Software Engineer,n/a,Intermediate,"Seguin, TX",85000,108000,96500,Glassdoor
Spotify,3.9,Software Engineer,Backend,Intermediate,"New York, NY",123000,175000,149000,Employer
Infor,4,Software Engineer,n/a,Entry,"Alpharetta, GA",77000,94000,85500,Glassdoor
Amerisoft Corporation,5,Software Engineer,n/a,Intermediate,"Farmington Hills, MI",71000,100000,85500,Glassdoor
WHOOP,3.3,Software Engineer,Backend,Intermediate,"Boston, MA",94000,148000,121000,Glassdoor
PFF,4.2,Software Engineer,n/a,Senior,Remote,147000,189000,168000,Employer
Salesforce,4.1,Software Engineer,n/a,Intermediate,"San Francisco, CA",90000,113000,101500,Employer
"HealthMine Services, Inc.",3.8,Software Engineer,n/a,Intermediate,Remote,54000,79000,66500,Glassdoor
Honeywell,4.1,Software Engineer,n/a,Entry,"Aguadilla, PR",91000,135000,113000,Glassdoor
Legrand AV,3.7,Software Engineer,n/a,Intermediate,Unknown,70000,135000,102500,Employer
Athenahealth,4,Software Engineer,n/a,Intermediate,"Boston, MA",192000,288000,240000,Employer
Amex,4.1,Software Engineer,Java,Intermediate,"Plantation, FL",100000,125000,112500,Employer
SOFT LABS NA,5,Software Engineer,n/a,Senior,"Northborough, MA",85000,127000,106000,Glassdoor
Snapchat,3.5,Software Engineer,n/a,Intermediate,"Los Angeles, CA",69000,109000,89000,Glassdoor
Hertz,3.2,Software Engineer,n/a,Intermediate,"Seattle, WA",124000,234000,179000,Employer
Megaport,3.4,Software Engineer,Frontend,Intermediate,Unknown,84000,133000,108500,Glassdoor
"7-Eleven, Inc.",3.4,Software Engineer,n/a,Intermediate,"Irving, TX",85000,150000,117500,Employer
"Summit Technologies, Inc.",4.2,Software Engineer,n/a,Intermediate,"Springfield, MA",48000,89000,68500,Glassdoor
Adobe,2.9,Software Engineer,n/a,Intermediate,"San Jose, CA",66000,97000,81500,Glassdoor
The MITRE Corporation,4,Software Engineer,n/a,Entry,"Bedford, MA",108000,199000,153500,Employer
Boston Children's Hospital,4.1,Software Engineer,n/a,Intermediate,"Boston, MA",102000,173000,137500,Employer
Amex,3.2,Software Engineer,"JavaScript, React",Intermediate,"Sunrise, FL",124000,142000,133000,Employer
Ahold Delhaize USA,4,Software Engineer,n/a,Intermediate,"Carlisle, PA",94000,133000,113500,Glassdoor
Artera Technologies,4.2,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",70000,116000,93000,Glassdoor
Adobe,4.3,Software Engineer,n/a,Intermediate,"Lehi, UT",142000,178000,160000,Employer
Workiva,3.5,Software Engineer,n/a,Senior,Remote,87000,135000,111000,Employer
Samsung Electronics,3.4,Software Engineer,n/a,Intermediate,"Mountain View, CA",77000,182000,129500,Employer
IPG Photonics,3.7,Software Engineer,n/a,Intermediate,"Oxford, MA",101000,144000,122500,Glassdoor
Crafty,3.3,Software Engineer,n/a,Intermediate,"Chicago, IL",101000,168000,134500,Employer
"Crunchyroll, LLC",4.2,Software Engineer,n/a,Senior,"San Francisco, CA",74000,118000,96000,Glassdoor
LEGO,3.9,Software Engineer,Backend,Intermediate,"Irvine, CA",100000,200000,150000,Employer
Principal Financial Group,4.1,Software Engineer,n/a,Intermediate,"Des Moines, IA",51000,78000,64500,Glassdoor
INTEL,3.4,Security Engineer,n/a,Intermediate,"Phoenix, AZ",71000,237000,154000,Employer
Hasbro,4.4,Software Engineer,Unreal,Intermediate,"Renton, WA",87000,116000,101500,Glassdoor
Software Engineering Institute,4.2,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",116000,184000,150000,Employer
University of Dayton,4.4,Software Engineer,n/a,Entry,"Dayton, OH",75000,103000,89000,Glassdoor
MIT,3.7,Software Engineer,n/a,Intermediate,"Cambridge, MA",155000,221000,188000,Employer
Amazon.com Services LLC,5,Software Engineer,n/a,Intermediate,"Seattle, WA",112000,165000,138500,Employer
DaqScribe Solutions,3.9,Software Engineer,n/a,Entry,Unknown,73000,109000,91000,Glassdoor
West Virginia University,4.5,Software Engineer,n/a,Intermediate,"Morgantown, WV",120000,150000,135000,Employer
McKesson,3.9,Software Engineer,n/a,Intermediate,Unknown,88000,124000,106000,Glassdoor
Noblis,2,Software Engineer,n/a,Intermediate,"Chantilly, VA",77000,87000,82000,Employer
eimagine,3.5,Software Engineer,n/a,Intermediate,Unknown,65000,90000,77500,Employer
CSL SOFTWARE SOLUTIONS,4.1,Software Engineer,n/a,Intermediate,"Burlington, VT",74000,101000,87500,Glassdoor
Chewy,3.8,Software Engineer,n/a,Intermediate,"Bellevue, WA",74000,111000,92500,Glassdoor
ERPA,4.3,QA/Test Engineer,n/a,Intermediate,"Dublin, OH",147000,186000,166500,Employer
Afterpay,4.1,Software Engineer,n/a,Intermediate,"Seattle, WA",129000,174000,151500,Glassdoor
Harvard University,5,Software Engineer,n/a,Intermediate,"Boston, MA",89000,125000,107000,Glassdoor
Brooks Automation,3,Software Engineer,n/a,Intermediate,"Fremont, CA",165000,190000,177500,Employer
DLRdmv,3.5,Software Engineer,n/a,Intermediate,"Dallas, TX",110000,160000,135000,Employer
Movius Interactive Corporation,3.3,Software Engineer,Frontend,Intermediate,"Fremont, CA",61000,110000,85500,Glassdoor
State Street,3.7,Software Engineer,n/a,Intermediate,"Burlington, MA",94000,154000,124000,Employer
"Sonalysts, Inc.",3.8,Software Engineer,n/a,Entry,"Waterford, CT",75000,115000,95000,Employer
"Preco, LLC",3.6,Software Engineer,n/a,Intermediate,"Somerset, WI",62000,106000,84000,Glassdoor
HealthStream,3.6,Software Engineer,n/a,Intermediate,"Nashville, TN",72000,118000,95000,Glassdoor
Aptiv plc,4,Software Engineer,n/a,Intermediate,"Troy, MI",75000,118000,96500,Glassdoor
Zipongo,3.8,Software Engineer,n/a,Intermediate,Remote,98000,137000,117500,Glassdoor
Snowflake,3.7,Software Engineer,n/a,Intermediate,"Bellevue, WA",113000,150000,131500,Employer
Staffed4U,4.2,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",110000,140000,125000,Employer
Honeycomb.io,4.2,Software Engineer,SRE,Intermediate,Unknown,141000,179000,160000,Employer
Topaz Labs,3.8,DevOps Engineer,n/a,Intermediate,"Dallas, TX",77000,136000,106500,Glassdoor
Brown and Caldwell,4.3,Software Engineer,n/a,Intermediate,"Atlanta, GA",79000,126000,102500,Glassdoor
Vertafore,3.7,Software Engineer,n/a,Intermediate,"Melville, NY",87000,119000,103000,Glassdoor
"Aerodyne Industries, LLC",3.1,Software Engineer,n/a,Intermediate,"Kennedy Sp Ct, FL",72000,94000,83000,Glassdoor
KAIROS Inc,3.5,Software Engineer,n/a,Intermediate,"Dahlgren, VA",6000,7000,6500,Employer
Topaz Labs,3.7,Software Engineer,n/a,Senior,"Dallas, TX",68000,106000,87000,Glassdoor
S3,3.8,Software Engineer,n/a,Intermediate,"Stennis Space Center, MS",56000,88000,72000,Glassdoor
"J. Paul Getty Trust, The",4.1,Software Engineer,n/a,Senior,"Los Angeles, CA",72000,113000,92500,Glassdoor
Topaz Labs,3.4,Software Engineer,n/a,Intermediate,"Dallas, TX",90000,119000,104500,Glassdoor
Rover.com,3.2,Software Engineer,n/a,Senior,"Seattle, WA",101000,135000,118000,Glassdoor
University of Oregon,3.8,Software Engineer,n/a,Intermediate,"Eugene, OR",155000,180000,167500,Employer
dï¿½ï¿½ï¿½ï¿½ï¿½ï¿½TER,4,Software Engineer,n/a,Intermediate,Unknown,85000,114000,99500,Glassdoor
AHU Technologies,4.6,Software Engineer,n/a,Intermediate,"Newark, DE",130000,160000,145000,Employer
ALSTOM,3.4,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",160000,250000,205000,Employer
ISPA Technology,3,System Engineer,n/a,Entry,"Washington, DC",120000,150000,135000,Employer
"Universal Health Services, Inc. - Corporate Office",3.4,Data Engineer,n/a,Entry,"King of Prussia, PA",96000,146000,121000,Glassdoor
Relias,3.8,Software Engineer,n/a,Entry,"Morrisville, NC",107000,144000,125500,Glassdoor
Tickrs Clearing,3.1,Software Engineer,n/a,Intermediate,"Irvine, CA",138000,189000,163500,Glassdoor
CTC Group,4.8,Software Engineer,n/a,Intermediate,"Fort Meade, MD",78000,118000,98000,Glassdoor
GoTab Inc,3.5,DevOps Engineer,n/a,Entry,"Arlington, VA",113000,139000,126000,Glassdoor
CSX,3.8,Software Engineer,n/a,Intermediate,"Jacksonville, FL",70000,109000,89500,Glassdoor
Synergy ECP,4.4,Software Engineer,n/a,Entry,"Fort Meade, MD",73000,117000,95000,Glassdoor
M&T Bank,5,Software Engineer,n/a,Senior,"Wilmington, DE",62000,107000,84500,Glassdoor
Cardlytics,5,Software Engineer,n/a,Senior,"Menlo Park, CA",124000,169000,146500,Glassdoor
"Stefanini, Inc",3.8,Cloud Engineer,AWS,Intermediate,"Richmond, VA",96000,117000,106500,Employer
Innovative Systems,3.8,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",84000,140000,112000,Glassdoor
Parabola,3.8,Software Engineer,Fullstack,Intermediate,Unknown,66000,94000,80000,Glassdoor
Vibrint,3.5,Software Engineer,Python,Entry,Unknown,70000,120000,95000,Employer
Millennium Management,4.2,Software Engineer,n/a,Intermediate,Unknown,78000,126000,102000,Employer
Sagitec,3.9,Software Engineer,n/a,Intermediate,"Saint Paul, MN",165000,209000,187000,Employer
Careerus Soultions,4,DevOps Engineer,n/a,Intermediate,Unknown,90000,125000,107500,Glassdoor
Innovien Solutions,3.3,Software Engineer,n/a,Senior,"Atlanta, GA",116000,150000,133000,Employer
Ocean Power Technologies Inc,3.8,Software Engineer,n/a,Intermediate,Unknown,107000,192000,149500,Employer
Riverside Research Institute,4.8,Software Engineer,n/a,Intermediate,"Fairborn, OH",79000,120000,99500,Glassdoor
Staffed4U,5,Software Engineer,Java,Intermediate,"Annapolis Junction, MD",94000,153000,123500,Employer
Uber Freight,5,Software Engineer,n/a,Intermediate,"Chicago, IL",84000,129000,106500,Glassdoor
Diverse Career Solutions,3.7,Software Engineer,n/a,Intermediate,Unknown,48000,81000,64500,Glassdoor
Snowflake,4.1,Software Engineer,n/a,Intermediate,"Bellevue, WA",82000,129000,105500,Glassdoor
Likewize,4,DevOps Engineer,n/a,Entry,"Dallas, TX",61000,104000,82500,Glassdoor
MassMutual Ascend,4,Software Engineer,n/a,Senior,"Cincinnati, OH",182000,244000,213000,Employer
Washington DC government,4.7,Software Engineer,React,Intermediate,Remote,96000,116000,106000,Employer
AnaVation,3.7,Software Engineer,n/a,Intermediate,"Quantico, VA",68000,136000,102000,Employer
3R Info,3.9,Software Engineer,n/a,Intermediate,"Canton, MI",93000,132000,112500,Glassdoor
Strategic Mission Elements,3.5,Software Engineer,"JavaScript, TypeScript",Intermediate,"Chantilly, VA",77000,125000,101000,Glassdoor
"IPSecure, Inc.",3.9,Software Engineer,n/a,Senior,"Patrick AFB, FL",52000,200000,126000,Employer
RELX,3.2,Software Engineer,n/a,Intermediate,Unknown,81000,118000,99500,Glassdoor
