Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
ViewSoft,4.8,Software Engineer,"Manassas, VA",Software Engineer,n/a,Intermediate,68000,94000,81000,Glassdoor,No,8d
Workiva,4.3,Software Support Engineer,Remote,Software Engineer,n/a,Intermediate,61000,104000,82500,Employer,No,2d
"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",Software Engineer,C#,Intermediate,95000,118000,106500,Glassdoor,No,2d
Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",Software Engineer,Fullstack,Entry,97000,145000,121000,Employer,No,2d
Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",Software Engineer,n/a,Intermediate,85000,108000,96500,Glassdoor,No,2d
Spotify,3.9,Backend Engineer II,"New York, NY",Software Engineer,Backend,Intermediate,123000,175000,149000,Employer,No,1d
Infor,4,Associate Software Engineer,"Alpharetta, GA",Software Engineer,n/a,Entry,77000,94000,85500,Glassdoor,No,7d
Amerisoft Corporation,5,Software Developers,"Farmington Hills, MI",Software Engineer,n/a,Intermediate,71000,100000,85500,Glassdoor,No,30d+
WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",Software Engineer,Backend,Intermediate,94000,148000,121000,Glassdoor,No,10d
PFF,4.2,Sr. Software Engineer,Remote,Software Engineer,n/a,Senior,147000,189000,168000,Employer,No,1d
Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",Software Engineer,n/a,Intermediate,90000,113000,101500,Employer,No,5d
"HealthMine Services, Inc.",3.8,Software Engineer,Remote,Software Engineer,n/a,Intermediate,54000,79000,66500,Glassdoor,No,1d
Honeywell,4.1,Software Engineer I,"Aguadilla, PR",Software Engineer,n/a,Entry,91000,135000,113000,Glassdoor,No,2d
Legrand AV,3.7,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,70000,135000,102500,Employer,No,2d
Athenahealth,4,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",Software Engineer,n/a,Intermediate,192000,288000,240000,Employer,No,2d
Amex,4.1,Java Engineer,"Plantation, FL",Software Engineer,Java,Intermediate,100000,125000,112500,Employer,No,6d
SOFT LABS NA,5,Entry Level to Senior Level Software Developers,"Northborough, MA",Software Engineer,n/a,Senior,85000,127000,106000,Glassdoor,No,30d+
Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",Software Engineer,n/a,Intermediate,69000,109000,89000,Glassdoor,No,2d
Hertz,3.2,Software Engineer,"Seattle, WA",Software Engineer,n/a,Intermediate,124000,234000,179000,Employer,No,2d
Megaport,3.4,Frontend Software Engineer,Unknown,Software Engineer,Frontend,Intermediate,84000,133000,108500,Glassdoor,No,2d
"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",Software Engineer,n/a,Intermediate,85000,150000,117500,Employer,No,1d
"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",Software Engineer,n/a,Intermediate,48000,89000,68500,Glassdoor,No,10d
Adobe,2.9,Software Development Engineer,"San Jose, CA",Software Engineer,n/a,Intermediate,66000,97000,81500,Glassdoor,No,10d
The MITRE Corporation,4,Associate Software Engineer,"Bedford, MA",Software Engineer,n/a,Entry,108000,199000,153500,Employer,No,2d
Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",Software Engineer,n/a,Intermediate,102000,173000,137500,Employer,No,30d+
Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",Software Engineer,"JavaScript, React",Intermediate,124000,142000,133000,Employer,No,5d
Ahold Delhaize USA,4,Software Engineer - Martech,"Carlisle, PA",Software Engineer,n/a,Intermediate,94000,133000,113500,Glassdoor,No,2d
Artera Technologies,4.2,Software Engineers,"Annapolis Junction, MD",Software Engineer,n/a,Intermediate,70000,116000,93000,Glassdoor,No,6d
Adobe,4.3,Software Engineer,"Lehi, UT",Software Engineer,n/a,Intermediate,142000,178000,160000,Employer,No,13d
Workiva,3.5,Senior Software Engineer,Remote,Software Engineer,n/a,Senior,87000,135000,111000,Employer,No,3d
Samsung Electronics,3.4,Software Engineer,"Mountain View, CA",Software Engineer,n/a,Intermediate,77000,182000,129500,Employer,No,2d
IPG Photonics,3.7,Software Engineer,"Oxford, MA",Software Engineer,n/a,Intermediate,101000,144000,122500,Glassdoor,No,4d
Crafty,3.3,Software Engineer,"Chicago, IL",Software Engineer,n/a,Intermediate,101000,168000,134500,Employer,No,2d
"Crunchyroll, LLC",4.2,"Software Engineer III, Payments","San Francisco, CA",Software Engineer,n/a,Senior,74000,118000,96000,Glassdoor,No,13d
LEGO,3.9,Backend Software Engineer,"Irvine, CA",Software Engineer,Backend,Intermediate,100000,200000,150000,Employer,No,9d
Principal Financial Group,4.1,Experienced Software Engineer,"Des Moines, IA",Software Engineer,n/a,Intermediate,51000,78000,64500,Glassdoor,No,2d
INTEL,3.4,Security Software Engineer,"Phoenix, AZ",Security Engineer,n/a,Intermediate,71000,237000,154000,Employer,No,22d
Hasbro,4.4,"Software Engineer, Unreal Engine","Renton, WA",Software Engineer,Unreal,Intermediate,87000,116000,101500,Glassdoor,No,18d
Software Engineering Institute,4.2,Software Engineer,"Pittsburgh, PA",Software Engineer,n/a,Intermediate,116000,184000,150000,Employer,No,30d+
University of Dayton,4.4,Associate Software Engineer,"Dayton, OH",Software Engineer,n/a,Entry,75000,103000,89000,Glassdoor,No,2d
MIT,3.7,Software Developer,"Cambridge, MA",Software Engineer,n/a,Intermediate,155000,221000,188000,Employer,No,17d
Amazon.com Services LLC,5,Software Dev Engineer - Computer Science,"Seattle, WA",Software Engineer,n/a,Intermediate,112000,165000,138500,Employer,No,2d
DaqScribe Solutions,3.9,Jr. Software Engineer,Unknown,Software Engineer,n/a,Entry,73000,109000,91000,Glassdoor,No,10d
West Virginia University,4.5,Software Engineer - Libraries,"Morgantown, WV",Software Engineer,n/a,Intermediate,120000,150000,135000,Employer,No,4d
McKesson,3.9,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,88000,124000,106000,Glassdoor,No,2d
Noblis,2,Software Engineer (All Levels),"Chantilly, VA",Software Engineer,n/a,Intermediate,77000,87000,82000,Employer,No,1d
eimagine,3.5,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,65000,90000,77500,Employer,No,30d+
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",Software Engineer,n/a,Intermediate,74000,101000,87500,Glassdoor,No,18d
Chewy,3.8,Software Engineer II,"Bellevue, WA",Software Engineer,n/a,Intermediate,74000,111000,92500,Glassdoor,No,2d
